species	index_ext_event	pre_sapiens	sapiens
Acerodon_mackloti	2	0	0.178524
Aegialomys_galapagoensis	2	0	0.00166
Agathaeromys_praeuniversitatis	0	0	0
Algarolutra_majori	1	0.567984524	0
Amblyrhiza_inundata	0	0	0
Antillomys_rayi	2	0	0.019610595
Aonyx_cinereus	2	0	0.246408162
Apodemus_argenteus	2	0	0.336
Apodemus_mystacinus_FOSSIL	2	0.560023266	0.16
Apodemus_speciosus	2	0	0.336
Apodemus_sylvaticus	2	0	0.088
Arctictis_binturong	2	3.352635532	0.52
Arctogalidia_trivirgata	2	0	0.153842034
Asoriculus_burgioi	0	0	0
Asoriculus_corsicanus	2	0	0.039933763
Asoriculus_similis	1	1.551041306	0
Axis_calamianensis	2	0	0.170084893
Axis_kuhlii	2	0	0.188240722
Bibos_palaesondaicus	1	3.344336279	0
Bison_priscus_siciliae	0	0	0
Bison_sp_Hondo	2	0	0.26217638
Boromys_offella	2	0	0.022849172
Boromys_torrei	2	0	0.022547466
Bos_javanicus	2	0	0.362119198
Bos_primigenius_bubaloides	0	0	0
Bos_primigenius_siciliae	0	0	0
Brotomys_contractus	2	0	0.015724572
Brotomys_voratus	2	0	0.022963118
Bubalus_cebuensis	0	0	0
Bubalus_grovesi	2	0.594	0.172459255
Bubalus_mindorensis	2	0	0.114475541
Bubalus_palaeokerabau	1	4.443037668	0
Bubalus_sp_Hondo	2	0	0.113654421
Bubalus_sp_Luzon	1	2.662502816	0
Callosciurus_notatus	2	0	0.287564717
Callosciurus_prevostii	2	0	0.153342254
Canariomys_bravoi	2	0	0.002630918
Canariomys_tamarani	2	0	0.005669418
Candiacervus_cerigensis	0	0	0
Candiacervus_cretensis	1	0.358614509	0
Candiacervus_dorothensis	0	0	0
Candiacervus_major	1	0.152181877	0
Candiacervus_rethymnensis	1	0.35397384	0
Candiacervus_ropalophorus	1	0.413604873	0
Candiacervus_sp_II	1	0.327836469	0
Canis_aureus	2	0	0.18
Canis_lupus	2	0	0.336
Capreolus_miyakoensis	2	0	0.100819437
Capricornis_crispus	2	0	0.117647887
Capricornis_sp_Hondo	2	0	0.282923205
Capricornis_sumatraensis_FOSSIL	2	0.163011088	0.52
Capromys_pilorides	2	0	0.023616
Capromys_pilorides_lewisi	2	0	0.00104599
Catopuma_badia	2	0	0.153407785
Cervus_elaphus	2	0	0.088
Cervus_elaphus_rossii	0	0	0
Cervus_elaphus_siciliae	2	0	0.051293679
Cervus_nippon	2	1.464	0.336
Chalinolobus_tuberculatus	2	0	0.003
Chasmaporthetes_melei	0	0	0
Chimarrogale_platycephalus	2	0	0.336
Cordimus_debuisonjei	0	0	0
Cordimus_hooijeri	2	0	0.010332051
Crocidura_canariensis	2	0	0.009244
Crocidura_dsinezumi	2	0	0.336
Crocidura_foetida	2	0	0.153321141
Crocidura_palawanensis	2	0	0.13513515
Crocidura_rhoditis	2	0	0.037524957
Crocidura_sicula_sicula_FOSSIL	2	0	0.088
Crocidura_zimmermanni	2	0.452	0.044
Crocidura_zimmermanni_FOSSIL	2	0.452	0.044
Cynocephalus_volans	2	0	0.041244317
Cynopterus_brachyotis	2	0	0.197329697
Cynopterus_horsfieldii	2	0	0.153680632
Cynotherium_sardous	2	1.555464	0.009064023
